artist,genre
Zeph,Unknown
Haris Wajdhaan,Unknown
Vicetone,edm
Cartoon,Unknown
NEFFEX,Unknown
R3HAB,slap house
Axwell /\ Ingrosso,Unknown
Joel Adams,soft pop
Petit Biscuit,Unknown
Lost Frequencies,tropical house
J Balvin,reggaeton
Aya Nakamura,pop urbaine
Anirudh Ravichander,tamil pop
Mokita,Unknown
vaultboy,Unknown
Avvy Sra,punjabi pop
Bhalwaan,punjabi hip hop
Gupz Sehra,bhangra
Prince Narula,punjabi pop
Sunanda Sharma,bhangra
Hatim,indian indie
Naps,pop urbaine
Los Cantos de la Hinchada,Unknown
Gotye,Unknown
Flo Rida,Unknown
James Arthur,soft pop
Aaryan Shah,Unknown
Russ,Unknown
Alyssa Mendonsa,bollywood
Dikshant,indian indie
Hammad Nadeem,Unknown
Rahul Jain,Unknown
Achint,gujarati garba
Ahmed Jahanzaib,Unknown
Rizwan Anwar,Unknown
Parul Mishra,hindi indie
Ali Haider,desi pop
Azlan Abid,Unknown
Asrar,sufi
sapientdream,Unknown
Lana Del Rey,Unknown
Loud Luxury,Unknown
Faraz Ahmed,ghazal
Nehaal Naseem,indian indie
Shany Haider,desi
Kashmir,indian indie
TheFatRat,Unknown
Arsalan Hasan,hindi indie
Akhtar Chanal Zehri,Unknown
Richie,azonto
Waqar Ali,Unknown
Wajahat Rauf,desi
EI8HT,Unknown
Low Hum,Unknown
Avoure,melodic techno
ZHU,edm
1STVIRGINIA,Unknown
sakehands,Unknown
Moglii,Unknown
Ark Patrol,Unknown
Troye Sivan,Unknown
Sainté,uk drill
JXMESC,Unknown
M83,Unknown
DVRST,phonk
AUR,hindi indie
Jake Scott,Unknown
thiarajxtt,punjabi pop
Aprilwalayaar,Unknown
Towers,indian indie
Sofi Tukker,Unknown
The Game,west coast hip hop
Bhramit Das,Unknown
Sushma Shrestha,ghazal
Kunal Ganjawala,kannada pop
Zubeen Garg,bangla pop
Aadesh Shrivastava,bollywood
Sunidhi Chauhan,bollywood
Dave,grime
SL,uk drill
Arz,uk drill
Parah Dice,Unknown
PedroDJDaddy,Unknown
Hadiqa Kiani,qawwali
Alex1,uk drill
JBEE,uk drill
Jorja Smith,Unknown
Sheff G,brooklyn drill
A1 x J1,uk drill
Rahma Ali Muqaddraan,Unknown
Kitty Witts,Unknown
Goldie Sohel,desi
Hinanaaz,sufi
DJ Shine India,Unknown
Saba,Unknown
Wesley Joseph,Unknown
Jordy,grime
JAY1,grime
COMFY,uk drill
Aaron May,Unknown
Ramz,qawwali
tobi lou,Unknown
Jagjit Singh,ghazal
Retrib,turkish hip hop
Walker,Unknown
Louis 31,Unknown
Loverground,lo-fi house
glue70,vaporwave
Macem Ly,lo-fi beats
Submotion Orchestra,Unknown
toh inc.,Unknown
Nick Hakim,Unknown
Charles Murdoch,lo-fi house
Etari,lo-fi house
Nuage,liquid funk
Three Days Grace,post-grunge
Taimour Baig,desi hip hop
MC SQUARE,haryanvi pop
Addy Nagar,haryanvi pop
M.H.R,malayalam hip hop
Dank Rishu,hindi hip hop
Saad Lamjarred,moroccan pop
Kidjaywest,punjabi hip hop
Irshad Khan,haryanvi pop
Surf Curse,indie
KANKAN,vocaloid
LUCKI,cloud rap
J. Cole,rap
Mae Stephens,Unknown
Sabrina Carpenter,Unknown
Jung Kook,k-pop
Legend Jxxt,Unknown
Aakanksha Sharma,bollywood
Eser Inc.,Unknown
Asees Kaur,hindi pop
Suzzane D'Mello,bollywood
James,Unknown
Peggy Gou,Unknown
Gala,eurodance
Ricchi E Poveri,italo dance
Vegedream,pop urbaine
Roberta Flack,adult standards
NAALAYAK,indian indie
The Midnight,synthwave
ABBA,Unknown
Harshit Saxena,bollywood
Elvis Presley,rockabilly
Sonya Belousova,soundtrack
The Four Lads,adult standards
Cannons,Unknown
Rito Riba,indian indie
JVKE,Unknown
Kid Travis,Unknown
Lil Uzi Vert,melodic rap
Bipolar Sunshine,Unknown
070 Shake,Unknown
Brandz,sexy drill
$uicideboy$,dark trap
Bayou,egyptian hip hop
Boy In Space,Unknown
Omah Lay,afrobeats
Corona,Unknown
Alicia Keys,r&b
Asha Bhosle,ghazal
Manan Bhardwaj,bhajan
Sika Deva,Unknown
AkhSheikh,desi pop
The Dreamcatchers Official,Unknown
Gaurav Chatterji,indian indie
Nakash Aziz,bollywood
Cigarettes After Sex,dream pop
Nanku,desi hip hop
Kanika Kapoor,bollywood
Shashwat Sachdev,indian indie
Kaushik-Guddu,hindi pop
Amit Mishra,bollywood
Big Boi Deep,punjabi hip hop
Juss,punjabi pop
Himonshu Parikh,indian indie
Fareed Ayaz,qawwali
Abhijeet Srivastava,indian indie
Dominique Cerejo,bollywood
Raj Pareek,bhajan
Murshid Ahmed,Unknown
Suman Sridhar,bollywood
Oyyeharry,Unknown
Tom Petty,classic rock
Chandana Dixit,bollywood
RudyWade,Unknown
Jaani,punjabi pop
Rahim Shah,Unknown
Akcent,europop
Quavo,Unknown
CHASE B,Unknown
Ken Carson,rage rap
Luis Fonsi,latin
Maluma,reggaeton
$NOT,Unknown
Danyal Zafar,sufi
Wazir Patar,punjabi hip hop
Nilesh Ahuja,hindi pop
Divya Kumar,bollywood
Kamaal Khan,bollywood
Sadhana Sargam,tamil pop
Anu Malik,bollywood
Junaid Jamshaid,Unknown
Faheem Abdullah,indian indie
Zach Bryan,country
Summer Rios,Unknown
Sean Kingston,Unknown
Mark Ronson,Unknown
Sunny Yaduvanshi,haryanvi pop
Raja Baath,punjabi pop
LOAT!,dark trap
"Tyler, The Creator",Unknown
Sickick,Unknown
Jhené Aiko,r&b
James Mercy,Unknown
James Carter,Unknown
Lost Sky,Unknown
Halcyon,Unknown
Resentvul,dark trap
DeeKay,Unknown
Savi Kahlon,Unknown
j-hope,k-pop
CHANYEOL,k-pop
Tinlicker,melodic house
Ali Abbas,ghazal
Miguel,r&b
JID,Unknown
Raghav Chaitanya,hindi indie
Belly,Unknown
Karun,desi hip hop
Yeat,rage rap
King Von,drill
Playboi Carti,rage rap
Frank Ocean,Unknown
kobzx2z,funkot
Jay Critch,brooklyn drill
Masove,Unknown
Nicky Jam,reggaeton
Chawki,moroccan pop
Trinidad Cardona,Unknown
Karthik Rao,hindi indie
Miley Cyrus,Unknown
FIFA Sound,Unknown
The Rigs,Unknown
Anne Sophie Versnaeyen,Unknown
Clinton Shorter,space music
David Buckley,soundtrack
Gracie Abrams,Unknown
mehro,Unknown
elijah woods,Unknown
yaeow,Unknown
Javed Bashir,sufi
Papon,bollywood
Haley Joelle,Unknown
Aime Simone,Unknown
Stephen Dawes,Unknown
Ronit Vinta,indian indie
Vylom,qawwali
Sickflip,indian indie
Faridkot,indian indie
Emily Watts,Unknown
Louis Armstrong,jazz
Andy Williams,christmas
Vic Damone,adult standards
Catherine Russell,vocal jazz
Ray Charles,jazz blues
Bilaal Malik,Unknown
Oddbot,Unknown
joyvegas,Unknown
CKay,afrobeats
Ayed,khaleeji
Adagio!,underground hip hop
Vikash Arya,Unknown
Akanksha Bhandari,indian indie
Nitin Shukla,Unknown
Garena Free Fire,Unknown
Arif Lohar & Meesha Shafi,Unknown
Malkoo,qawwali
Rowan Drake,Unknown
Old Sea Brigade,indie folk
Hollow Coves,indie folk
Solace,lo-fi
AURORA,norwegian pop
Novo Amor,Unknown
ZIIKS,Unknown
Phantogram,Unknown
Pramod Senapati,Unknown
Natalie Taylor,Unknown
Dhruv,Unknown
Olivia O'Brien,Unknown
PRETTYMUCH,Unknown
Mister Priyanshu,hindi indie
Priyansh Srivastava,indian indie
Turhan James,indian indie
Nayyara Noor,ghazal
Noor Jahan,ghazal
Nafad Sinan,ghazal
Talat Mahmood,ghazal
Uttam Singh,bollywood
Bappi Lahiri,bollywood
Pankaj Udhas,ghazal
Rahul Sharma,bollywood
Waqar Khan,qawwali
Ali Azmat,sufi
Kamal Khan,sufi
Akull,punjabi pop
Shubha Mudgal,gujarati garba
Sandesh Shandilya,bollywood
SYML,Unknown
High Frequency Karaoke,Unknown
Vikram Montrose,Unknown
Sachet-Parampara,bhajan
Aditya Yadav,Unknown
Suriel Hess,Unknown
Munn,ghazal
Anson Seabra,Unknown
Janoobi Khargosh,indian indie
Lyari Underground,Unknown
WORMONO,lo-fi
Mustafa,bollywood
Daniel Schulz,Unknown
Sunil Kamath,Unknown
Arman Cekin,Unknown
Justin Timberlake,Unknown
Sarfaraz Naheed,Unknown
Waseem Badami,qawwali
Urban Crunch Media,Unknown
B.o.B,Unknown
Nicky Youre,Unknown
Waseem Ahmed,qawwali
Intense,punjabi pop
David Kushner,Unknown
Ghostluvme,Unknown
Mukesh,ghazal
Shivam Pathak,bollywood
Snehit Bansal,Unknown
Tarna,punjabi hip hop
Ganeshsingh Rathore,hindi indie
RAAMIS,desi hip hop
Amna Riaz,indian indie
Logic,Unknown
Aditya N.,indian indie
Arsh Mohammed,Unknown
Imdad Hussain,hindi indie
Hamza Malik,Unknown
Anirudh Sharma,hindi indie
Aditya Satpathy,hindi indie
Arham Fulfagar,indian indie
Azeem Choudhry,Unknown
John Denver,folk
Simar Panag,punjabi pop
Itz dhruv,Unknown
Farooq Rind,Unknown
Rajab Ali,qawwali
Adel Farooq,desi
Shazia Khush,Unknown
Atta Ullah Khan Esakhelvi,qawwali
Music Wala,Unknown
Ranjit Barot,Unknown
Krewella,edm
Zion & Lennox,reggaeton
Kaoma,Unknown
Charly Black,dancehall
Maná,rock en español
Carlos Vives,colombian pop
OMI,Unknown
Jesse & Joy,latin pop
Pucho Y Tucutu,Unknown
Anthony Gonzalez,Unknown
Bianca Costa,Unknown
Buscemi,acid jazz
AriBeatz,german hip hop
Manuel Turizo,reggaeton
Felix Jaehn,tropical house
Pindi Boyz,desi hip hop
Salim Merchant,bollywood
Amandeep Singh,sufi
Arash,afro house
Mattyas,europop
Sasha Lopez,Unknown
LaRoxx Project,Unknown
Global Deejays,Unknown
DJ Goja,deep house
Kate Linn,Unknown
Yves Larock,Unknown
Kurtuluş Kuş,turkish pop
Reynmen,turkish pop
Ömer Faruk Bostan,oyun havasi
Ezhel,turkish hip hop
Dimitri Vegas & Like Mike,big room
Stromae,french pop
Regard,Unknown
Landy,pop urbaine
Naza,Unknown
Fiji Blue,Unknown
6LACK,Unknown
Bebe Rexha,Unknown
Ali Hamza,qawwali
REMEDIOS,anime
America,soft rock
Bill Withers,soul
Aramis,Unknown
Green Day,punk
Khamaaj,sufi
LORYN,Unknown
Tom Walker,Unknown
Paige,melodic house
Diplo,moombahton
Elderbrook,Unknown
Don Diablo,future house
Keane,Unknown
Louyah,Unknown
loyalties,Unknown
Woodlock,indie folk
Hloshit,Unknown
James Quinn,Unknown
Frank Sinatra,christmas
Sunny Suljic,Unknown
Kane Brown,country
Jawad Kahlown,Unknown
Shani Malik,qawwali
Sara Haider,sufi
Naseem Begum,ghazal
Zakir Mir Mughal,Unknown
Conan Gray,Unknown
Kim Petras,Unknown
Madison Beer,Unknown
Shafaqat Ali,Unknown
Poo Bear,Unknown
Chase Atlantic,Unknown
Jojo Nathaniel,bollywood
Aditya Narayan,bollywood
Vincent Boral,desi pop
Dj Reed,Unknown
Gente De Zona,latin
Andrea Bocelli,opera
Virginio Aiello,Unknown
Daprinski,Unknown
Jóhann Jóhannsson,neoclassical
Fabrizio Paterlini,neoclassical
Frédéric Schubert,Unknown
Borrtex,Unknown
Daniel Pemberton,soundtrack
Megami,Unknown
Maxence Cyrin,Unknown
Austin Farwell,Unknown
Kai Engel,neoclassical
Jef Martens,Unknown
Evgeny Grinko,Unknown
Norman Dück,Unknown
Justin Hurwitz,Unknown
A. Blomqvist,Unknown
Javier Navarrete,soundtrack
Brooklyn Duo,Unknown
Ludovico Einaudi,neoclassical
Joep Beving,neoclassical
Paul Roggenbuck,Unknown
Danilo Stankovic,Unknown
Max Richter,neoclassical
Andrea Vanzo,Unknown
Mattia Vlad Morleo,neoclassical
Emiliano Blangero,Unknown
On Piano,Unknown
Antonio Vivaldi,classical
Woodsman,Unknown
Piano Turca,Unknown
Edvard Kravchuk,Unknown
James Heather,neoclassical
Mercuzio Pianist,Unknown
Patrick Watson,Unknown
Akshit Kukkreja,Unknown
Vincent Delerm,chanson
Craig Wedren,Unknown
Illuminine,neoclassical
Hazy,Unknown
Øneheart,dark ambient
Ben Crosland,Unknown
Gabríel Ólafs,neoclassical
Janos Sebestyen,classical
Aram Khachaturian,classical
Arelius,Unknown
Roque Baños,Unknown
hazel,vietnamese hip hop
Shenseea,dancehall
John Powell,soundtrack
Improline,Unknown
Amity Fall,Unknown
Jean Sibelius,classical
Wali Bakhat Warraich,indian indie
Avinash Nayak,Unknown
Libianca,afrobeats
FYDE,Unknown
FIFTY FIFTY,k-pop
DJ Flow,punjabi pop
Khan Bhaini,punjabi pop
Beatrice,Unknown
SAINt JHN,Unknown
Joji,Unknown
Harry Hudson,Unknown
MASN,Unknown
SadBoyProlific,Unknown
Tyla Yaweh,melodic rap
Powfu,Unknown
Teqkoi,Unknown
Alexander 23,Unknown
Surf Mesa,Unknown
Melanie Martinez,Unknown
flora cash,Unknown
Sleeping At Last,Unknown
HELLSTRVCK,Unknown
Abbas Ali Khan,sufi
Evdeki Saat,turkish pop
Dzharo & Khanza,Unknown
Young Thug,rap
Amjad Sabri,qawwali
Amanat Ali & Sanam Marvi,Unknown
Saieen Zahoor & Noori,Unknown
Arieb Azhar,Unknown
Priyesh Vakil,bollywood
Jahnvi Shrimankar,gujarati garba
Vayu,gujarati garba
Daler Mehndi,bhangra
Moneybagg Yo,memphis rap
Harjot K Dhillon,sufi
ConKi,Unknown
Bryan Adams,Unknown
Tame Impala,indie
Lithe,Unknown
Michael Hunter,Unknown
Morgan Wallen,country
New West,Unknown
Umair,desi hip hop
John-Robert,Unknown
Pink Floyd,progressive rock
Thomas Hien,Unknown
Young Stoner Life,Unknown
Ty Myers,country
Dayglow,indie rock
Liv Harland,Unknown
Harshdeep Kaur,bollywood
Ranbir Kapoor,bollywood
Myles Smith,Unknown
CLMD,Unknown
Suraj Jagan,bollywood
Dr. Dog,Unknown
WIU,brazilian trap
Owen Riegling,country
Shashaa Tirupati,hindi pop
The 1975,Unknown
The Ambassadors,african gospel
Shantanu Moitra,bollywood
Lil Wayne,rap
d4vd,Unknown
¥$,Unknown
Adam Yokum,Unknown
Brandon Rosen,Unknown
Holly Humberstone,Unknown
Good Neighbours,Unknown
Karan Kanchan,desi hip hop
Zahoor,qawwali
Noelle Johnson,Unknown
D-Block Europe,grime
DJ Belite,Unknown
Jeremih,Unknown
Lizzy McAlpine,Unknown
Supreme Sidhu,punjabi hip hop
Bryan Elijah Smith,Unknown
Danny,indian indie
The Smiths,new wave
Dasha,Unknown
Young Maylay,Unknown
JPL,Unknown
The Bangles,jangle pop
Kavinsky,synthwave
ZITA,Unknown
Niall Horan,Unknown
Ron Pope,Unknown
George Strait,country
Aries,Unknown
Sam Smith,soft pop
EDEN,Unknown
Masroor Ali Khan,qawwali
Sade,Unknown
Anitta,Unknown
You Me At Six,pop punk
Young Ejecta,synthpop
The Wailin' Jennys,bluegrass
Crooked Still,bluegrass
Kabir Cafe,bhajan
TOTO,soft rock
qhabb,guaracha
orbit,stutter house
Max Elto,Unknown
girl in red,bedroom pop
Alphaville,synthpop
Kaleb Jones,Unknown
LeAnn Rimes,Unknown
Greg Ferreira,brazilian trap
Natasha Bedingfield,Unknown
Teddy Swims,Unknown
a-ha,new wave
TWXN,Unknown
Djo,psychedelic pop
Noman Ali Rajper,desi pop
TV Girl,Unknown
JAY-Z,hip hop
Charlie Jeer,jazz house
Shazia Manzoor,bhangra
Carter Ryan,Unknown
DJ Shadow,trip hop
Khawar Jawad,sufi
Lady Gaga,art pop
Imran Aziz Mian,qawwali
Devi Sri Prasad,telugu pop
Aditi Singh Sharma,bollywood
,egyptian pop
Bon Jovi,glam metal
Lil Peep,emo rap
Afsana Khan,Unknown
Gurshabad,bhangra
Richa Sharma,sufi
Chezile,Unknown
John Mayer,singer-songwriter
Iyaz,Unknown
Latto,Unknown
Baby Keem,Unknown
Kodak Black,Unknown
Victony,afrobeats
Money Man,Unknown
Quality Control,Unknown
Timbaland,Unknown
yung kai,Unknown
NAYEL,hindi indie
Nelly Furtado,Unknown
Nelly,Unknown
dopuu,Unknown
Elliot James Reay,Unknown
Matthew Ifield,Unknown
JENNIE,k-pop
Adrian,Unknown
IanPlug,Unknown
Beatzordie,Unknown
Trashy.YL,Unknown
M3G4,Unknown
ZZang KARAOKE,Unknown
Spenceolsman,Unknown
BLACKPINK,k-pop
WORK OUT GYM - DJ MIX,Unknown
Star Shah,indian indie
Stevie Wonder,motown
ROSÉ,k-pop
Mark Ambor,Unknown
A3R0,Unknown
Lay Bankz,jersey club
John Williams,soundtrack
Howard Shore,soundtrack
Mariam Aftab,Unknown
Charlotte Lawrence,Unknown
TOOL,progressive metal
Steve Lacy,Unknown
Laddi Chahal,punjabi pop
Sukha,punjabi hip hop
Childish Gambino,Unknown
Joey Bada$$,hip hop
Cochise,rage rap
Sheck Wes,Unknown
Chief Keef,drill
Meek Mill,rap
Jyotica Tangri,bollywood
Aashir Wajahat,hindi indie
Justh,hindi indie
Vikrant Dhaka,punjabi hip hop
Shadab Faridi,bollywood
Akashdeep Sengupta,hindi pop
mikeeysmind,Unknown
GoldLink,Unknown
Sevven,Unknown
lucidbeatz,Unknown
GOYA PIETER,mandopop
Moriantezz,Unknown
CSeeGHOSTS,Unknown
ADUSO,Unknown
Caleb Bryant,Unknown
skyfall beats,Unknown
Wejoell,hardstyle
miyonex,Unknown
Courten,Unknown
Amitabh Bhattacharya,bollywood
Abhishek Bhatt,Unknown
Shriya Jain,hindi indie
Manpreet Dhillon,Unknown
Arjun Sahota,Unknown
Jashan Brar,punjabi hip hop
Abdullah Khan,indian indie
Hiten,desi hip hop
Her's,indie
Mansheel Gujral,hindi pop
PEDRO SAMPAIO,funk
Colonel Bagshot,Unknown
Alfaaz,punjabi pop
Paradox,hindi hip hop
R Maan,haryanvi pop
Sunny Subramanian,bollywood
QB,sufi
Meena Gul,qawwali
Pankaj Mistry,gujarati pop
Manish Adtani,Unknown
Bela Shende,marathi pop
Syd Hadi Om,Unknown
Rapkid Arfat,Unknown
Suranjit Das,Unknown
tricksingh,desi hip hop
Qari Abdul Khaliq,Unknown
Isabel LaRosa,Unknown
YOASOBI,j-pop
TakaseToya,j-pop
PLAZA,Unknown
Harley,Unknown
Akbar Alam,sufi
Mekaal Hasan Band,sufi
Syed Tajamul,qawwali
Simran Choudhary,hindi pop
Goher Mumtaz,qawwali
Lil Yachty,Unknown
Komal Rizvi,sufi
Zoheb Hassan,desi pop
TPWB,devotional
CARBON,punjabi hip hop
Skylar,Unknown
Ani Thapa,Unknown
Its Sahil,Unknown
Aniroudh Sharma,Unknown
Zamad Baig,qawwali
Kushagra,indian indie
Lavanya Dixit,Unknown
Aden,punjabi pop
MATH,Unknown
Boey P Beatz,Unknown
Matt Sassari,tech house
Sabri Sisters,desi
Amrit Maan,bhangra
Gulab Sidhu,punjabi pop
John Legend,soft pop
Travie McCoy,Unknown
Rich Amiri,rage rap
Aditya Bhardwaj,indian indie
John Newman,Unknown
NBSPLV,Unknown
Hypaton,Unknown
Beach Weather,Unknown
Daft Punk,french house
Galantis,Unknown
cassö,hypertechno
Imany,Unknown
MAGIC!,Unknown
Modern Talking,italo disco
SUICIDAL-IDOL,hyperpop
Spacey Jane,surf rock
Kid Cudi,Unknown
The Temper Trap,Unknown
Rashmeet Kaur,desi pop
Chill Me Out,Unknown
Naughty Boy,Unknown
Azhar Abbas,sufi
Richy Mitch & The Coal Miners,Unknown
Tears For Fears,new wave
Tommy Richman,Unknown
RAYE,Unknown
Dynoro,Unknown
Imanbek,slap house
BOOTY LEAK,hypertechno
BENNETT,hypertechno
James Hype,house
Matt Maltese,Unknown
Abi Sampa,qawwali
Kesha,Unknown
Robin Schulz,tropical house
Jimmy Whoo,Unknown
Elle Valenci,Unknown
Aze,qawwali
TWO LANES,Unknown
Lonely in the Rain,Unknown
Incredible Polo,Unknown
PaulWetz,Unknown
Mindchatter,Unknown
Zimmer,nu disco
LIE NING,Unknown
Hugo Santini,lo-fi beats
Piyush Mishra,bollywood
Shubhranshu Tiwari,hindi indie
Sameer Zulfi,Unknown
Keshav Tyohar,hindi indie
Amartya Bobo Rahut,indian indie
Debashiz,Unknown
Novulent,shoegaze
CORBAL,Unknown
KXLLSWXTCH,dark trap
Skeeter Davis,Unknown
Kapa Boy,Unknown
Timmies,Unknown
Papithbk,Unknown
Train,soft pop
Dhanda Nyoliwala,haryanvi pop
Empire Of The Sun,Unknown
Artemas,Unknown
фрози,Unknown
The Marías,bedroom pop
Tyla,afrobeats
Vance Joy,folk pop
Los Del Rio,Unknown
Xavier Wulf,cloud rap
Rahul Mishra,Unknown
Anushka Shahaney,Unknown
Veronica Mehta,bhangra
Yash Narvekar,bollywood
Gabry Ponte,slap house
Creeds,techno
Öwnboss,Unknown
Joel Corry,dance pop
ATHYN,hypertechno
Lucky Luke,slap house
Michael Jackson,Unknown
Kardinal Offishall,Unknown
Henrik,christian folk
Helve,Unknown
Only,Unknown
GREGO,piseiro
Cave,anime
Kant,brazilian trap
Tiago PZK,argentine trap
Different Heaven,dubstep
Deaf Kev,Unknown
Disfigure,Unknown
Electro-Light,Unknown
Spektrem,Unknown
Jim Yosef,Unknown
Diviners,tropical house
Krys Talk,Unknown
Lensko,Unknown
Culture Code,melodic bass
Tauseef Akhtar,qawwali
Anuradha Paudwal,bhajan
Mohammed Aziz,ghazal
Amit Roy Roy,Unknown
Amjad Baltistani,qawwali
Carly Rae Jepsen,Unknown
Mr. Probz,Unknown
George Michael,Unknown
Tayc,pop urbaine
Glorb,meme rap
Young the Giant,Unknown
Kaysha,kizomba
Lil S,uk drill
Panjabi MC,bhangra
Wael Kfoury,khaleeji
Zubair Nawaz,Unknown
USHER,r&b
Britney Spears,pop
Foster The People,Unknown
Ragasur,hindi hip hop
Mannat Noor,bhangra
Karamel Kel,dark ambient
Ice Spice,Unknown
Chappell Roan,Unknown
KIRXSHA,phonk
Raiyan,Unknown
Lou Garcia,brazilian pop
Jordan Adetunji,sexy drill
Asake,afrobeats
Bluesss,Unknown
KSHMR,big room
Shamur,desi pop
When Chai Met Toast,indian indie
Samuel - Akanksha,bollywood
SACAR aka Lil Buddha,Unknown
Juice Newton,Unknown
Rober Hatemo,turkish pop
Sub Urban,Unknown
May J.,j-r&b
Tamino,Unknown
Lewis Hanton,Unknown
Alex Yurkiv,worship
Bunny,Unknown
Faheem Ali,qawwali
Ahemad Razvi,qawwali
AC/DC,rock
Eurythmics,new wave
The Police,Unknown
Rick Astley,Unknown
Creedence Clearwater Revival,classic rock
*NSYNC,Unknown
Satyajeet Jena,Unknown
Greed for Ganja,desi hip hop
JacobTrapLord,Unknown
Josh Ritter,americana
The White Buffalo,gothic country
Sara Watkins,newgrass
Lucy Wainwright Roche,Unknown
Phil Collins,soft rock
Cutting Crew,Unknown
Vansire,bedroom pop
hako,Unknown
Eibell,Unknown
Gustixa,Unknown
Noah Kahan,Unknown
NIKI,Unknown
Qurat-ul-Ain Balouch & Shuja Haider,sufi
Kavita Krishnamurthy,bollywood
DHARIA,Unknown
Kaléra,punjabi pop
HRJXT,punjabi hip hop
Davy,punjabi pop
B. Ajaneesh Loknath,kannada pop
Unknown,Unknown
